symbol,date,next_day_high,next_day_low,next_day_close,next_day_volume,feature_close,feature_volume,feature_daily_range,feature_body_ratio,feature_return_1d,feature_return_5d,feature_ma_5_ratio,feature_ma_10_ratio,feature_ma_20_ratio,feature_volume_ratio,feature_rsi
AAPL,2020-01-29,81.0225,79.6875,80.9675,126551232,81.085,216599620,0.01994820250354575,0.017001545489946115,0.020932355440838483,0.020900220333648054,1.0208873668572003,1.0890031993580358,1.074254524957528,1.2698710050018573,51.66836786504733
AAPL,2020-01-30,80.67,77.0725,77.3775,199588384,80.9675,126551232,0.016488097075987203,0.6229213436485281,-0.0014490966269962709,0.014534974783071723,1.01643902683974,1.0842833019214473,1.0685358166772168,0.7439227914135436,51.536471280051884
AAPL,2020-01-31,78.3725,75.555,77.165,173985604,77.3775,199588384,0.046492843526865,0.7936066690935205,-0.044338777904714896,-0.0276460054663693,0.9767666439445581,1.0394159337197555,1.0191273667444327,1.155252415911656,49.16917589671727
AAPL,2020-02-03,79.91,78.4086,79.7125,136616536,77.165,173985604,0.03651266766020858,0.38686778922141163,-0.0027462763723303477,-0.0009386632141121982,0.9742625010258387,0.9752814527162597,1.0148482311205853,0.9911485026465182,49.54823340651863
AAPL,2020-02-04,81.19,79.7375,80.3625,118746872,79.7125,136616536,0.01883518896032604,0.5894498428836504,0.0330136720015551,0.003651358242311766,1.005690026053002,1.0067537913113218,1.0448377459487268,0.7727411886509683,50.827511705841765
AAPL,2020-02-05,81.305,80.0662,81.3025,105392140,80.3625,118746872,0.018074350598848973,0.3562822694920313,0.00815430453191145,-0.008910402663871204,1.0157425079312916,1.0137628277502004,1.0502156312731517,0.6742620089467681,50.686233317170796
AAPL,2020-02-06,80.85,79.5,80.0075,117684048,81.3025,105392140,0.015236923833830596,0.5327736476204826,0.011696997977912555,0.004137462562139053,1.0267541422509598,1.023690207879528,1.0598027120727145,0.6096995533893936,50.71564250684657
AAPL,2020-02-07,80.3875,78.4625,80.3875,109346860,80.0075,117684048,0.016873418117051456,0.43333333012346453,-0.015928169490483094,0.033989208749313375,1.0037322795132353,1.0068395751535288,1.041276226041538,0.6854055054133416,88.05752673265499
AAPL,2020-02-10,80.975,79.6775,79.9025,94323120,80.3875,109346860,0.023946509096563484,0.9571428521706885,0.004749554729244255,0.0417611611481889,1.0004106801734813,1.0076273204728061,1.0454411723317403,0.6392202461490276,53.7020517395183
AAPL,2020-02-11,81.805,80.3675,81.8,113730292,79.9025,94323120,0.016238540721504324,0.7687861212424983,-0.006033276317835477,0.0023835659400971957,0.9939049040644339,1.0009457952822978,1.0379644076876648,0.5626248021338645,51.40296753342149
AAPL,2020-02-12,81.555,80.8375,81.2175,94451512,81.8,113730292,0.017573349633251835,0.996521732198103,0.02374769250023458,0.01788769637579717,1.0138820029747149,1.0237989449113565,1.0598841008443236,0.6800477384632972,55.37569135302845
